CMDLINE C:\Users\joben\AppData\Local\Programs\Python\Python310\python.exe .\scraper_multiprocess.py
CHLD 2 24.960938 1688078577.3118
CHLD 3 25.000000 1688078577.3118
CHLD 4 24.761719 1688078577.3118
CHLD 5 24.847656 1688078577.3118
CHLD 6 24.921875 1688078577.3118
CHLD 7 25.003906 1688078577.3118
MEM 21.324219 1688078577.4247
CHLD 0 24.886719 1688078577.4342
CHLD 1 24.957031 1688078577.4342
CHLD 2 24.964844 1688078577.4342
CHLD 3 25.003906 1688078577.4342
CHLD 4 24.761719 1688078577.4342
CHLD 5 24.851562 1688078577.4342
CHLD 6 24.921875 1688078577.4342
CHLD 7 25.003906 1688078577.4342
MEM 21.324219 1688078577.5343
CHLD 0 24.886719 1688078577.5459
CHLD 1 24.960938 1688078577.5459
CHLD 2 24.964844 1688078577.5459
CHLD 3 25.003906 1688078577.5459
CHLD 4 24.761719 1688078577.5459
CHLD 5 24.851562 1688078577.5459
CHLD 6 24.925781 1688078577.5459
CHLD 7 25.011719 1688078577.5459
MEM 21.324219 1688078577.6586
CHLD 0 24.886719 1688078577.6686
CHLD 1 24.960938 1688078577.6686
CHLD 2 24.964844 1688078577.6686
CHLD 3 25.007812 1688078577.6686
CHLD 4 24.761719 1688078577.6686
CHLD 5 24.851562 1688078577.6686
CHLD 6 24.929688 1688078577.6686
CHLD 7 25.011719 1688078577.6686
MEM 21.324219 1688078577.7830
CHLD 0 24.886719 1688078577.7975
CHLD 1 24.960938 1688078577.7975
CHLD 2 24.964844 1688078577.7975
CHLD 3 25.007812 1688078577.7975
CHLD 4 24.761719 1688078577.7975
CHLD 5 24.851562 1688078577.7975
CHLD 6 24.933594 1688078577.7975
CHLD 7 25.011719 1688078577.7975
MEM 21.324219 1688078577.9071
CHLD 0 24.886719 1688078577.9213
CHLD 1 24.960938 1688078577.9213
CHLD 2 24.964844 1688078577.9213
CHLD 3 25.011719 1688078577.9213
CHLD 4 24.761719 1688078577.9213
CHLD 5 24.851562 1688078577.9213
CHLD 6 24.933594 1688078577.9213
CHLD 7 25.011719 1688078577.9213
MEM 21.324219 1688078578.0322
CHLD 0 24.894531 1688078578.0448
CHLD 1 24.960938 1688078578.0448
CHLD 2 24.972656 1688078578.0448
CHLD 3 25.011719 1688078578.0448
CHLD 4 24.769531 1688078578.0448
CHLD 5 24.851562 1688078578.0448
CHLD 6 24.933594 1688078578.0448
CHLD 7 25.011719 1688078578.0448
MEM 21.324219 1688078578.1571
CHLD 0 24.894531 1688078578.1662
CHLD 1 24.968750 1688078578.1662
CHLD 2 24.972656 1688078578.1662
CHLD 3 25.011719 1688078578.1662
CHLD 4 24.769531 1688078578.1662
CHLD 5 24.851562 1688078578.1662
CHLD 6 24.937500 1688078578.1662
CHLD 7 25.019531 1688078578.1662
